id,name,ann_count,label_valid,
876,Janolus fuscus,0,,
877,Katharina tunicata,0,,
878,Limacia cockerelli,0,,
879,Magarites pupillus,0,,
880,Mopalia (spp.),0,,
881,Mopalia kennerleyi,0,,
882,Mopalia spectabilis,0,,
883,Nucella spp.,0,,
884,Ocinebrina lurida,0,,
885,Tonicella spp.,304,,
886,Tonicella lineata,0,,
887,Tonicella venusta,0,,
888,Tonicella insignis,0,,
889,Tonicella undocaerulea,0,,
890,Triopha catalinae,0,,
891,Trichotropis cancellata,0,,
892,Tritonia festiva,0,,
893,Cancer oregonensis,0,,
894,Cancer productus,0,,
895,Cryptolithodes spp.,0,,
896,Hermit crab,0,,
897,Lopholithodes mandtii,0,,
898,Oregonia gracilis,0,,
899,Phyllolithodes papillosus,0,,
900,Pandalus danae,0,,
901,Pandalus platyceros,0,,
902,Placetron wosnessenskii,0,,
903,Pugettia gracilis,0,,
904,Rhinolithodes wosnessenskii,0,,
905,Scyra acutifrons,0,,
906,Unidentified crab,41,,
907,Unidentified shrimp,0,,
908,Pugettia producta,0,,
909,Telmessus Cheiragonus,0,,
910,Aulorhynchus flavidus,0,,
911,Agonopsis vulsa,0,,
912,Dorid nudibranch (unidentified),0,,
913,Doris spp.,0,,
914,Unknown larger chiton,0,,
915,Peltodoris spp.,0,,
916,Unidentified Crangon spp.,0,,
917,Adocia,0,,
918,Alcyonium spp.,0,,
919,Aplidium californicum,2087,,
920,Cellaria diffusa,0,,
921,Chlamys hastata (immobile),0,,
922,Entodesma navicula,3,,
923,Halichondria panicea,935,,
924,Modiolus modiolus,5,,
925,Phyllochaetopterus prolifica,51,,
926,Pista elongata,0,,
927,Anarrhichthys ocellatus,0,,
928,Artedius harringtoni,0,,
929,Chirolophis decoratus,0,,
930,Chirolophis nugator,0,,
931,Macroalgae: Laminate: brown: Zonaria sp.,334,,
932,Embiotoca lateralis,0,,
933,Hemilepidotus hemilepidotus,0,,
934,Hemilepidotus spinosus,0,,
935,Hexagrammus decagrammos,0,,
936,Jordania zonope,0,,
937,Ophiodon elongatus,0,,
938,Oxylebius pictus,0,,
939,Perch,0,,
940,Pholis spp.,0,,
941,Pholis laeta,0,,
942,Rhinogobiops nicholsii,0,,
943,Ronquilus jordani,0,,
944,Scorpaenichthys marmoratus,0,,
945,Sculpin unidentified,0,,
946,Sebastes caurinus,0,,
947,Sebastes emphaeus,0,,
948,Sebastes flavidus,0,,
949,Sebastes maliger,0,,
950,Sebastes nebulosus,0,,
951,Plocamium spp.,182,,
952,Styela spp.,25,,
953,Styela gibbsii,0,,
954,Diaulula sandiegensis,0,,
955,Bugula californica,312,,
956,Erect coarse branching brown: Sargassum sp.,936,,
957,Reniera spp.,11,,
958,Calliostoma/Margarites Unidentified,0,,
959,"Eualus spp., Heptacarpus spp. & Lebbeus spp.",0,,
960,Phytichthys chirus,0,,
961,Molluscs: Limpets,106,,
962,Molluscs: Snails,218,,
963,Sebastes melanops,0,,
964,Acanthodoris spp.,1,,
965,Clinocardium spp.,0,,
966,Isostichopus badionotus,3,,
967,Champia/Lomentaria,216,,
968,Favia matthai,4862,,
971,Favites halicora,332,,
972,Favites pentagona,2699,,
973,Chondrilla nucula,734,,
974,Acroporidae Other,44065,,
975,Unknown invasive octocoral,85,,
976,Cerastoma foliatum,0,,
977,Berthella californica,0,,
978,Sabellidae,8,,
979,conomurex persicus,22,,
980,Crambe Crambe,905,,
981,Zoanthus,1497,,
982,Other invertebrate,11808,,
983,Faviidae,9850,,
984,Mussidae,11,,
985,Xestospongia edapha,0,,
986,Common Seastar,20,,
987,Chondrosia collectrix,2,,
988,Barnacles,3046,,
989,Antipatharia,179,,
990,Dodecaceria fewkesi,0,,
991,Idanthyrsus saxicavus,157,,
993,"Annelida, unidentified",93,,
994,Balanus glandula,3685,,
995,Balanus rostratus,0,,
996,Semibalanus cariosus,22,,
997,Solidobalanus engbergi,0,,
998,"Arthropoda, unidentified",0,,
999,Hemithyris psittacea,0,,
1000,"Brachiopoda, unidentified",0,,
1001,"Bryozoan, branching unidentified",170,,
1002,Dendrobeania murrayana,0,,
1003,Disporella separata,0,,
1004,"Bryozoan, encrusting unidentified",19585,,
1005,Watersipora cucullata,289,,
1006,Aplidiopsis pannosum,0,,
1008,Botrylloides violaceus,3479,,
1009,Ciona savignyi,2893,,
1010,Halocynthia aurantium,0,,
1011,Molgula pacifica,0,,
1012,Aglaophenia spp.,2191,,
1014,"Ascidian, unidentified",265,,
1015,Anthopleura elegantissima,0,,
1016,Anthopleura xanthogrammica,0,,
1019,Clava spp.,0,,
1020,Corynactis californica,1,,
1021,Ectopleura spp.,0,,
1022,Eudendrium californicum,0,,
1023,Garveia spp.,0,,
1024,Gersemia rubiformis,213,,
1025,Hydrallmania distans,2,,
1026,Metridium senile,13836,,
1027,Obelia spp.,4240,,
1028,Ptilosarcus gurneyi,0,,
1029,Stomphia coccinea,0,,
1030,Cyphastrea ocellina,76,,
1031,Stomphia didemon,0,,
1032,Urticina lofotensis,0,,
1033,Urticina piscivora,0,,
1034,Leptastrea purpurea,392,,
1035,Psammocora stellata,487,,
1036,Vermetidae,102,,
1037,Aiptasia pulchella,6,,
1038,Mycale grandis,353,,
1039,Gelliodes fibrosa,0,,
1040,Dictyosphaeria versluysii,3310,,
1041,Dictyosphaeria cavernosa,417,,
1042,Smenospongia cerebriformis,47,,
1043,Unidentified Octocoral,313,,
1044,Lytechinus variegatus,19,,
1045,Crassostrea gigas,0,,
1046,Mytilus spp.,284,,
1047,"Mussel, unidentified",49,,
1049,Rubble/debris/shell hash,7091,,
1051,"Sediment, thin",1564,,
1052,Aplysilla longispina,8,,
1055,"Algae, encrusting unidentified",0,,
1056,Clathrina spp.,54,,
1057,Leucandra spp.,0,,
1058,Neoesperiopsis spp.,0,,
1059,Phakellia spp.,0,,
1060,Polymastia spp.,20,,
1061,"Sponge, unidentified",7213,,
1062,Syringella amphispicula,0,,
1063,Weberella spp.,68,,
1064,"Red algae, filamentous",2242,,
1068,Metacarcinus magister,0,,
1069,Glebocarcinus oregonensis,0,,
1070,Loxorhynchus crispatus,0,,
1071,Mimulus foliatus,0,,
1072,Pugettia richii,0,,
1073,Munida quadrispina,0,,
1074,"Amphipod, unidentified",0,,
1075,"Isopod, unidentified",0,,
1076,Crossaster papposus,0,,
1077,Pisaster ochraceous,0,,
1078,Mesocentrotus franciscanus,0,,
1079,Florometra serratissima,0,,
1080,Acmaea mitra,0,,
1081,Aeolidia papillosa,0,,
1082,Aldisa albomarginata,0,,
1083,Aldisa tara,0,,
1084,Armena californica,0,,
1085,Cadlina modesta,0,,
1086,Dendronotus diversicolor,0,,
1087,Dendronotus iris,0,,
1088,Dendronotus rufus,0,,
1089,Melibe leonina,0,,
1090,Tochuina tetraquetra,0,,
1091,Triopha maculata,0,,
1092,Tritonia diomedea,0,,
1093,Euspira lewisii,0,,
1094,Tegula funebralis,0,,
1095,"Scallop, unidentified",0,,
1096,"Clam, unidentified",3,,
1097,"Cucumber, unidentified",0,,
1098,"sea star, unidentified",70,,
1099,"Nudibranch, unidentified",0,,
1100,"Snail, unidentified",95,,
1101,"Tunicate, compound unidentified",366,,
1102,"Tunicate, social unidentified",6,,
1103,Protula pacifica,0,,
1104,Apomatus spp.,0,,
1105,Serpula columbiana,100,,
1106,Cinachyrella alloclada,2,,
1107,Pileolaria spp.,5,,
1108,"Serpulid worms, unidentified",526,,
1109,"Spirorbinid worm, unidentified",3,,
1111,Corella spp.,9,,
1112,Stylantheca spp.,71,,
1113,"Sediment, thick",53,,
1115,"Red algae, erect coralline",4826,,
1116,"Crab, unidentified",0,,
1117,Crangon spp.,0,,
1118,"Shrimp, unidentified",1,,
1119,"bivalve, unidentified",1180,,
1120,"chiton, unidentified",5,,
1121,"Limpet, unidentified",5,,
1122,"Barnacle, unidentified",179,,
1123,"Tube, amphipod",18,,
1124,Out of focus,1746,,
1125,"Anemone, unidentified",4548,,
1126,Mobile fauna,965,,
1127,"Red algae, unidentified foliose",3059,,
1128,"Red algae, unidentified encrusting",25906,,
1129,"Red algae, thin branching",222,,
1130,"Red algae, thin sheet",16,,
1131,"Red algae, thick branching",841,,
1132,"Red algae, thick sheet",18,,
1133,"Red algae, crustose coralline",33345,,
1134,synaptula,5,,
1135,Phorbas sp.,45,,
1136,Phyllochaetopterus claparedii,0,,
1137,Pseudochitinopoma occidentalis,107,,
1138,"Green algae, unidentified",410,,
1139,"Green algae, thin film",0,,
1140,Codium setchellii,2,,
1141,Trididemnum alexi,0,,
1142,Cribrinopsis sp.,0,,
1143,Epiactis lisbethae,0,,
1144,"Brown algae, thin film",107,,
1145,"Brown algae, unidentified",3668,,
1146,Bare Rock,12856,,
1147,Cliona celata,0,,
1148,Myxilla lacunosa,0,,
1149,Botryocladia pseudodichotoma,0,,
1150,Mazzaella splendens,9,,
1151,Ascidians: Stalked: Social,0,,
1152,Ascidians: Untalked: Social,0,,
1153,Zirfaea pilsbryi,0,,
1154,Uncertain Compound Tunicate/Sponge,2,,
1155,Hydro-bryo complex,60044,,
1156,"Red algae, crustose coralline bleached/dead",411,,
1157,"Crassadoma gigantea, dead",0,,
1158,"bryozoan, dead encrusting",461,,
1159,"Barnacle, dead",7479,,
1160,"Kelp, dead holdfast",8,,
1161,Schizoporella sp.,2102,,
1162,Echinometra mathaei,8172,,
1163,Tripneustes gratilla,879,,
1164,Laurencia spp.,79,,
1165,Orange Kiss,0,,
1166,Apalmata live,1085,,
1167,Apalmata Recent Mortality,27,,
1168,Apalmata Old Dead,31,,
1169,Apalmata Bleached,42,,
1170,Apalmata Pale,20,,
1171,Alpheus deuteropus channel,0,,
1172,Stenorhynchus seticornis,5,,
1173,softcoral_xeniidae,0,,
1174,softcoral_ nephtheidae,13,,
1175,XENIIDAE,23727,,
1176,Porites furcata,3205,,
1177,Porites divaricata,197,,
1178,Madracis decacitis,771,,
1179,Agracia agricites,43,,
1180,Montastraea annularis,50,,
1181,Montastraea faveoleta,29,,
1182,Manicina areolata,13,,
1183,Meandrina meandrites,566,,
1184,Montastraea franksi,16,,
1187,Diploria labyrinthiformis,38303,,
1188,Agaricia humilis,1971,,
1189,Non CCA Crustose Algae,55766,,
1190,Aplysina cauliformis,255,,
1191,Rope sponge,3019,,
1250,Oculina patagonica,76,,
1251,Anemonia viridis,11,,
1252,Macrorhynchia philippina,65,,
1253,Pennaria disticha,69,,
1254,Oscarella lobularis,0,,
1255,Petrosia ficiformis,18,,
1256,Phorbas topsenti,1206,,
1257,Sarcotragus spinosulus,471,,
1258,Aplysina fulva_cauliformis,813,,
1260,Diadema setosum,7245,,
1261,Anomastraea,63,,
1264,CRED-Encrusting hard coral,20181,,
1265,CRED-Foliose hard coral,25693,,
1266,CRED-Columnar hard coral,273,,
1267,CRED-Free-living hard coral,1043,,
1270,CRED-Acropora spp_tabulate,17540,,
1282,CRED-Goniopora/Alveopora spp,278,,
1293,CRED-Montipora spp_branching,4254,,
1294,CRED-Montipora spp_encrusting,75896,,
1295,CRED-Montipora spp_foliose,31878,,
1296,CRED-Montastraea spp,2076,,
1297,CRED-Oulophyllia spp,62,,
1298,CRED-Pachyseris spp,192,,
1299,CRED-Pavona spp_massive,1591,,
1300,CRED-Pavona spp_encrusting,2784,,
1301,CRED-Pavona spp_foliose,54,,
1306,CRED-Porites spp_massive,60762,,
1307,CRED-Porites spp_encrusting,25056,,
1308,CRED-Porites spp_foliose,7613,,
1309,CRED-Psammocora spp,205,,
1310,CRED-Stylophora spp,636,,
1311,CRED-Symphyllia spp,51,,
1313,CRED-Hydrocoral,236,,
1316,CRED-Bryozoan,1281,,
1317,CRED-Corallimorph,5518,,
1321,CRED-Unclassified sessile invertebrate,1498,,
1323,CRED-Green macroalgae,2814,,
1324,CRED-Brown macroalgae,535,,
1325,CRED-Red macroalgae,10551,,
1326,CRED-Avrainvillea spp,20,,
1327,CRED-Blue-green macroalga,9269,,
1329,CRED-Dictyopteris/Dictyota spp,4258,,
1330,CRED-Dictyosphaeria spp,1241,,
1331,CRED-Halimeda spp,40158,,
1332,CRED-Lobophora spp,5970,,
1333,CRED-Microdictyon spp,10115,,
1334,CRED-Neomeris spp,13,,
1335,CRED-Padina spp,1882,,
1336,CRED-Peyssonnelia spp,60177,,
1337,CRED-Encrusting macroalgae,164046,,
1338,CRED-Upright macroalgae,19185,,
1340,CRED-CCA growing on hard substrate,328486,,
1341,CRED-CCA growing on rubble,29978,,
1342,CRED-Octocoral,24762,,
1343,CRED-Unclassified soft coral,10,,
1344,CRED-Fine sediment,1219,,
1345,CRED-Hard substrate,5656,,
1346,CRED-Rubble substrate,13429,,
1348,CRED-Turf growing on hard substrate,1468571,,
1349,CRED-Turf growing on rubble,53483,,
1350,CRED-Mobile fauna,3091,,
1352,CRED-Wand,14873,,
1354,CRED-Unclassified/Unknown,53423,,
1355,CRED-Asparagopsis spp,919,,
1356,Acropora prolifera,13,,
1357,Agaricia agaricites,7264,,
1358,Agaricia fragilis,30,,
1359,Agaricia grahamae,204,,
1360,Agaricia lamarcki,439,,
1361,Cladocora arbuscula,0,,
1362,Isophyllia rigida,54,,
1363,Isophyllia sinuosa,60,,
1364,Madracis auretenra,2343,,
1365,Mussa angulosa,22,,
1366,Mycetophyllia aliciae,23,,
1367,Mycetophyllia ferox,15,,
1368,Orbicella annularis,12074,,
1369,Orbicella faveolata,20488,,
1370,Orbicella franksi,34796,,
1371,Porites branneri,18,,
1372,Porites colonensis,28,,
1373,Pseudodiploria clivosa,309,,
1374,Pseudodiploria strigosa,95451,,
1375,Scolymia cubensis,13,,
1376,Siderastrea radians,414,,
1377,Solenastrea bournoni,71,,
1378,Stephanocoenia intersepta,386,,
1379,Tubastraea coccinea,10,,
1380,Briareum asbestinum,1248,,
1381,Erythropodium caribaeorum,1473,,
1382,Plexaura spp.,158,,
1383,Pseudoplexaura spp.,833,,
1384,Eunicea spp.,1258,,
1385,Plexaurella spp.,260,,
1386,Muricea spp.,7,,
1387,Muriceopsis spp.,37,,
1388,Antillogorgia spp.,18,,
1389,Pterogorgia spp.,23,,
1390,Gorgonia spp.,12509,,
1391,Iciligorgia spp.,0,,
1392,Diodogorgia spp.,0,,
1393,Titanideum spp.,0,,
1394,Swiftia spp.,0,,
1395,Ellisella spp.,1,,
1396,Nicella spp.,0,,
1397,Palythoa,14012,,
1398,Diseased Coral,53,,
1399,test coral,0,,
1400,"Hard substrate white, i.e. limestones",47289,,
1401,"Hard substrate dark, e.g. volcanic",0,,
1402,SOFT_SAND,15756,,
1403,Calcifying calcareous crustose algae: DHC,118171,,
1404,Non hermatypic: Heliopora (Blue coral),783,,
1405,Massive or encrusting sponges,32793,,
1407,BRA: Acropora Bottlebrush,5429,,
1408,BRA: Acropora Branching,45168,,
1410,Stylophora (branching),8252,,
1411,"Acropora digitate, branches resembling finger",14000,,
1412,Acropora corymbose/tabular/plate,397266,,
1413,Porites (branching),26904,,
1414,"Fine branching non-Acroporids, Seriatopora,",5503,,
1415,BRA: Other,22024,,
1416,Branching bleached,9705,,
1417,MASE: Meandering Other,15622,,
1419,Massive colonies with invisible polyps,1016,,
1420,Massive colonies with visible polyps,977,,
1421,"Massive, Submassive, Encrusting: Colonies of",29,,
1422,"Massive, Submassive, Encrusting colonies of P",1995,,
1423,MASE: Other,7851,,
1424,MASE: Bleached,2897,,
1425,TFP: Porites,4364,,
1426,TFP: Visible Relief Structures,29025,,
1427,TFP: Visible Round Corallites,14989,,
1428,"Thin, Foliose, and Plating bleached",152,,
1429,"Non hermatypic: Free living (Fungia, etc)",6759,,
1431,Fishing gear,7194,,
1432,EAM: Dead Hard Coral,4871135,,
1433,Epilithic algal matirx smotheting rubble,325273,,
1434,Common LRG Alcyoniide,58841,,
1435,Crinoids,92,,
1436,Sea fans/plumes/branching/whipes,3848,,
1437,"Other sesile invertebrates Bryozoa, clams",2767,,
1438,EAM: Rock or Substrate,27478,,
1439,Cyanobacteria smothering dead coral,4698,,
1440,Cyanobacteria smothering rubble,2730,,
1441,Cyanobacteria on rock or other substrates,8288,,
1442,Calcifying algae: Halimeda,78745,,
1443,Calcifying macroalgae: Padina,1626,,
1444,Calcifying algae: Other,784,,
1445,Foliose sheeting macroalage: (e.g Ulva),7,,
1446,Foliose Fan-shaped Macroalgae,655,,
1447,Foliose strap/branched macroalgae: (e.g. Dict,50,,
1448,Filamentous Macroalgae,17940,,
1449,Foliose feathery (e.g. Caulerpa),1,,
1450,Leathery macrophytes Brown: Turbinaria,1,,
1451,Leathery Macrophyte: Sargassum,118,,
1452,Large visible globuoles (e.g. Valonia ssp. an,7,,
1453,Other Algae,35712,,
1454,Other sesile invertebrates soft hexacorrallia,3048,,
1455,"Sea cucumbers, sea urchins, sea stars, lobste",571,,
1456,Sponges: Vase,1921,,
1457,Rubble,140173,,
1458,CCA: On dead coral,8814,,
1459,Other Soft Corals,74974,,
1460,Astrangia poculata,270,,
1461,Alcyonium siderium (canopy),0,,
1462,Alcyonium siderium (substratum),1863,,
1463,Ancula gibbosa,0,,
1464,Anomia simplex,98,,
1465,Anomia/Heteranomia spp.,160,,
1466,Aplidium glabrum,81,,
1467,Aplysilla sp.,2033,,
1468,Artemesina sp.,0,,
1469,Ascidiella aspersa,414,,
1470,Asterias spp.,889,,
1471,Balanus/Amphibalanus spp.,1313,,
1472,Boltenia echinata,19,,
1473,Boltenia ovifera (canopy),0,,
1474,Boltenia ovifera (substratum),1,,
1475,Botryllus schlosseri,14397,,
1476,Buccinum undatum,0,,
1477,Bugula neritina (canopy),56,,
1478,Bugula neritina (substratum),0,,
1479,Bugula simplex (substratum),6,,
1480,Bugula simplex (canopy),302,,
1481,Bugula turrita (canopy),1,,
1482,Bugula turrita (substratum),13,,
1483,Cadlina laevis,0,,
1484,Cancer spp.,40,,
1485,Caprella/Paracaprella spp.,2,,
1486,Carcinus maenas,1,,
1487,Ciona intestinalis,152,,
1488,Cliona spp.,3329,,
1489,Corambe obscura,0,,
1490,Crepidula fornicata,14,,
1491,Crepidula plana,9,,
1492,Cucumaria frondosa,0,,
1493,Cuthona gymnota,0,,
1494,Cyclopterus lumpus,0,,
1495,Dendronotus frondosus,0,,
1496,Diadumene lineata,35,,
1497,Didemnum spp. (native),751,,
1498,Didemnum vexillum,25223,,
1499,Diplosoma listerianum,25552,,
1500,Ectopleura/Tubularia spp. (canopy),1902,,
1501,Ectopleura/Tubularia spp. (substratum),830,,
1502,Edwardsiella lineata (canopy),313,,
1503,Edwardsiella lineata (substratum),4136,,
1504,Electra pilosa,4,,
1505,Eubranchus exiguus,0,,
1506,Facelina bostoniensis,2,,
1507,Flabellina spp.,228,,
1508,Gellius arcoferus,0,,
1509,Gersemia rubiformis (canopy),0,,
1510,Gersemia rubiformis (substratum),0,,
1511,Halichondria sp. (Blue),234,,
1512,Haliclona oculata (canopy),0,,
1513,Haliclona oculata (substratum),0,,
1514,Haliclona spp.,14,,
1515,Halisarca spp.,180,,
1516,Halocynthia pyriformis,5,,
1517,Hemigrapsus sanguineus,0,,
1518,Henricia sanguinolenta,113,,
1519,Hiatella arctica,0,,
1520,Hippasteria phygiana,0,,
1521,Hippothoa hyalina,29,,
1522,Homerus americanus,0,,
1523,Hyas spp.,1,,
1524,Hymedesmia spp.,3,,
1525,Idotea spp.,1,,
1526,Iophon spp.,0,,
1527,Isodictya spp. (canopy),0,,
1528,Isodictya spp. (substratum),180,,
1529,Jassa marmorata,257,,
1530,Lacuna vincta,0,,
1531,Leptosia sp.,0,,
1532,Libinia spp.,0,,
1533,Littorina littorea,0,,
1534,Membranipora membranacea,280,,
1535,Metridium senile (canopy),3,,
1536,Metridium senile (substratum),1709,,
1537,Microciona prolifera,2,,
1538,Molgula spp.,213,,
1539,Mycale spp.,12,,
1540,Mytilus edulis,13729,,
1541,Myxilla fimbriata,0,,
1542,Notoacmea testudinalis,12,,
1543,Nucella lapillus,0,,
1544,Acropora downingi,630,,
1545,Acropora clathrata,493,,
1546,Acropora pharaonis,0,,
1547,Acropora arabensis,55,,
1548,Montipora aequituberculata,0,,
1549,Montipora informis,16,,
1550,Montipora spongiosa,0,,
1551,Madracis kirbyi,4,,
1554,Favites acuticollis,203,,
1555,Cyphastrea microphthalma,1228,,
1556,Cyphastrea serailia,322,,
1557,Leptastrea transversa,110,,
1558,Echinophyllia aspera,91,,
1559,Plesiastrea versipora,211,,
1560,Platygyra daedalea,1929,,
1561,Macroalgae: Turf,27722,,
1562,Cnidaria: Hydroid,36,,
1563,Platygyra lamellina,812,,
1564,Turbinaria peltata,192,,
1565,Heterocyathus aequicostatus,0,,
1566,Turbinaria reniformis,161,,
1567,Heteropsammia cochlea,0,,
1568,Tubastraea tagusensis,1,,
1569,Cladopsammia gracilis,12,,
1570,Porites harrisoni,2120,,
1571,Porites Lutea,1708,,
1572,Goniopora lobata,12,,
1573,Siderastrea savignyana,9,,
1574,Anomastraea irregularis,110,,
1575,Psammocora superficialis,0,,
1576,Psammocora contigua,181,,
1577,Coscinaraea columna,37,,
1578,Pavona explanulata,0,,
1579,Pavona decussata,343,,
1580,Culicia tenella,31,,
1581,Polycyathus margondoni,0,,
1582,Paracyathus stokesi,0,,
1583,Acanthastrea echinata,346,,
1584,Acanthastrea maxima,2,,
1585,Hydnophora exesa,173,,
1586,Macroalgae: Encrusting: calcareous,38838,,
1587,Bare Panel,17676,,
1588,Obelia spp. (substratum),2,,
1589,Obelia spp. (canopy),799,,
1590,Spionidae,101,,
1591,Amphiroa sp.,3711,,
1592,Soft sediment,11074,,
1593,MASE: Large Rounded Polyps,52631,,
1594,MASE: Small or Invis Polyps,51985,,
1596,MASE: Porites,109325,,
1597,Calcifying Calcareous Crustose Algae: Rubble,4316,,
1598,Calcifying Calcareous Crustose Algae: Sub,127,,
1599,Water_H20,41,,
1600,Trash: Human Origin,216,,
1601,"Sponges: Branching, Rope Forms",4091,,
1602,Hydroids: Feathery Types,3707,,
1603,Individual Tunicates,5678,,
1604,"Thin, Foliose, Plating: Other",859,,
1605,Foliose Algae: Other,2068,,
1606,Leathery Macrophytes: Other,3,,
1607,Algae: Other,9347,,
1608,Danafungia,30,,
1609,Dipsastraea,433,,
1610,Lithophyllon,34,,
1611,Lobactis,1,,
1612,Phymastrea,4196,,
1613,Pleuractis,26,,
1614,Plesiastrea,31,,
1615,Onchidoris bilamellata,0,,
1616,Onchidoris muricata,1,,
1617,Ostrea edulis,41,,
1618,Pagarus spp.,0,,
1619,Palio dubia,0,,
1620,Porania pulvillus,0,,
1621,Sagartia elegans,0,,
1622,Schizoporella unicornis,101,,
1623,Tricellaria inopinata (canopy),2925,,
1624,Tricellaria inopinata (substratum),0,,
1625,Scypha sp.,0,,
1626,Semibalanus balanoides,3,,
1627,Strongylocentrotus droebachiensis,7426,,
1628,Styela canopus,0,,
1629,Tritonia plebeia,0,,
1630,Unidentified arborescent bryozoan (canopy),2592,,
1631,Unidentified arborescent bryozoan(substratum),60740,,
1632,Unidentified encrusting bryozoan,1158,,
1633,Unidentified hydroid (canopy),268,,
1634,Unidentified hydroid (substratum),4747,,
1635,Unidentified orange sponge,2764,,
1636,Bad point,3666,,
1637,Framer,31909,,
1638,Thick sediment,13002,,
1639,Thin sediment,94640,,
1640,Myoxocephalus spp.,0,,
1641,Pholis gunnelus,7,,
1642,Tautogolabrus adspersus,0,,
1643,Ulvaria subbifurcata,0,,
1644,Gravel,15671,,
1645,Psammocora albopicta,154,,
1646,Porites nodifera,121,,
1647,Unknown,33454,,
1648,Crown of Thorns Sea Star,3062,,
1649,Crinoids.,1959,,
1650,Foliose Strap/ Branched Macro Algae,3014,,
1651,Foliose Feathery Macro Algae,252,,
1652,Leathery Macrophytes: Brown,0,,
1653,Leathery Macrophytes: Sargassum,0,,
1654,Algae: Large Visible Globules,765,,
1656,Agarum clathratum (canopy),150,,
1657,Agarum clathratum (substratum),0,,
1658,Alaria esculenta (substratum),0,,
1659,Alaria esculenta (canopy),0,,
1660,Ceramium virgatum (canopy),18,,
1661,Ceramium virgatum (substratum),0,,
1662,Corallina officinalis (substratum),34367,,
1663,Corallina officinalis (canopy),0,,
1664,Desmarestia aculeata (canopy),0,,
1665,Desmarestia aculeata (substratum),0,,
1666,Desmarestia viridis (substratum),0,,
1667,Desmarestia viridis (canopy)),956,,
1668,Laminaria digitata (canopy)),0,,
1669,Laminaria digitata (substratum),0,,
1670,Codium fragile ssp fragile (substratum),0,,
1671,Codium fragile ssp fragile (canopy),0,,
1672,Petalonia fascia/Punctaria latifolia (canopy),23,,
1673,Petalonia fascia/Punctaria latifolia (substr),0,,
1674,Phycodrys rubens (canopy),1666,,
1675,Phycodrys rubens (substratum),0,,
1676,Phyllophora/Chondrus (canopy),0,,
1677,Phyllophora/Chondrus (substratum),414,,
1678,Polysiphonia stricta (canopy),92,,
1679,Polysiphonia stricta (substratum),109,,
1680,Bangiaceae (substratum),0,,
1681,Bangiaceae (canopy),0,,
1682,Ptilota serrata (canopy),0,,
1683,Ptilota serrata (substatum),0,,
1684,Saccharina latissima (substratum),0,,
1685,Saccharina latissima (canopy),25,,
1686,Ulva spp. (canopy),304,,
1687,Ulva spp. (substratum),0,,
1688,Unidentified brown blade (canopy),0,,
1689,Unidentified brown blade (substratum),1,,
1690,Unidentified brown branched (substratum),1574,,
1691,Unidentified brown branched (canopy),0,,
1692,Unidentified green blade (canopy),195,,
1693,Unidentified green blade (substratum),608,,
1694,Unidentified green branched (canopy),0,,
1695,Unidentified green branched (substratum),0,,
1696,Unidentified red blade (canopy),1356,,
1697,Unidentified red blade (substratum),7065,,
1698,Unidentified red branched (substratum),13,,
1699,Unidentified red branched (canopy),1,,
1700,White Hard Substrate,0,,
1701,Dark Hard Substrate,0,,
1703,Loose Substrate: Rubble,3476,,
1704,Loose Substrate: Sediment,7151,,
1706,Clathromorphum spp.,2594,,
1707,Colpomenia peregrina,0,,
1708,Lithothamnion spp.,48853,,
1709,Phymatolithon spp.,13417,,
1710,Unidentified brown crust,92,,
1711,Unidentified diatoms,1934,,
1712,Unidentified crustose coralline algae,1,,
1713,Unidentified green film,0,,
1714,Unidentified red fleshy crust,6691,,
1715,Botryocladia Sp.,11,,
1716,Rhodymenia Sp.,31,,
1717,Axinella sp,665,,
1718,Malleus regula,673,,
1719,Pinctada radiata,3522,,
1720,Chama pacifica,199,,
1721,Alectryonella plicatula,142,,
1722,Brachidontes pharaonis,968,,
1723,Patella sp.,6,,
1724,Phallusia nigra,29,,
1725,Dasychone bairdi,44,,
1726,Discard,1,,
1727,Acanthella,2,,
1728,Phorbas tenacior,6,,
1729,Sessile Hermitcrab,0,,
1730,Pandina pavonia,22,,
1731,Hermodice carunculata,9,,
1732,Eurythoe complanata,1,,
1733,lithophaga,12,,
1734,microcosmus,22,,
1735,Dendropoma petraeum,20,,
1736,Ircinia sp.,444,,
1737,symplegma brakenhielmi,31,,
1738,Unidentified Fouling,2867,,
1739,Kurkar,838,,
1740,Calcinus tubularis,1,,
1741,"Crustose, turf, bare",201003,,
1742,Millepora alcicornis,6082,,
1743,Millepora complanata,1013,,
1744,Acropora echinata1,0,,
1745,Acropora echinata2,0,,
1746,Acropora Sp1.,0,,
1747,Acropora Sp2,0,,
1748,Acropora Sp3,0,,
1749,Hard Coral: Tabulate: Fused,18,,
1750,Hard Coral: Tabulate: Dissected,27,,
1751,Hard Coral: Hispidose,161,,
1752,Eunicella singularis,0,,
1753,Eunicella cavolinii,0,,
1754,Non Hermatypic Heliopora,392,,
1755,Unknown Sponge - Red,56,,
1756,Unknown Sponge - White,157,,
1757,Unknown Sponge - Brown,1781,,
1758,Nudibranch sp. - Egg Case Ribbon,7,,
1759,Unknown Hard Brown Substrate,5,,
1760,unknown invertebrate eggs,365,,
1761,Unknown Sp. Orange Egg Mass,25,,
